_varname,point_estimate,se_iqr
"mean_k1",-.20414021,.08372743
"mean_k2",-.07552071,.13198887
"mean_k3",.39140412,.07730318
"mean_k4",.22268034,.03428061
"mean_k5",1.5270745,.13948484
"mean_k6",.08055173,.07138451
"mean_k7",1.0149431,.10129319
"mean_k8",-.17573037,.03657225
"mean_k9",.1126441,.1256813
"mean_k10",1.8613488,.19472231
"mean_k11",-.64397817,.12052266
"mean_k12",1.4827496,.08963367
"eta_c_p",.61633801,.289957
"pi",.15040835,.0038351
"beta",0,0
"eta_h1_w1",.61323001,.17149411
"eta_h2_w2",.92934869,.24742097
"eta_c_w1",-.24379341,.10033811
"eta_h1_p",.12370769,.04979409
"eta_c_w2",-.0950454,.14331795
"eta_h2_p",.09833989,.14610553
"eta_h1_w2",.12297353,.08713732
"eta_h2_w1",.25074685,.17626128
"s_report",.7078251,.01218344
"s_u1_1",.04310637,.01126243
"s_u1_2",.01631862,.01158645
"s_u1_3",.03637423,.01568591
"s_u1_4",-.00244196,.01219554
"s_u1_5",.0408153,.01632543
"s_v1_1",.0272974,.00729256
"s_v1_2",.02640412,.00799901
"s_v1_3",.01460622,.01018232
"s_v1_4",.04998974,.01261248
"s_v1_5",.03774179,.01089274
"s_u2_1",.02565146,.01308238
"s_u2_2",.00526449,.00956762
"s_u2_3",.01572811,.01095723
"s_u2_4",.01107067,.00853424
"s_u2_5",-.01914637,.01275355
"s_v2_1",.04423838,.01062201
"s_v2_2",.04465066,.00863073
"s_v2_3",.0245488,.00812674
"s_v2_4",.03235086,.00690187
"s_v2_5",.05055829,.0133696
"r_u1u2_1",.01240216,.00692183
"r_u1u2_2",.00601895,.00594635
"r_u1u2_3",.00072358,.00606361
"r_u1u2_4",.00201979,.0051739
"r_u1u2_5",.01164637,.00588963
"r_v1v2_1",-.00076812,.0066985
"r_v1v2_2",.00182998,.00472916
"r_v1v2_3",.00508388,.00334467
"r_v1v2_4",.00720669,.00355855
"r_v1v2_5",.00016963,.00522582
"r_u1",0,0
"r_u2",0,0
"r_v1",0,0
"r_v2",0,0
"s_omega",.05802713,.00299998
"observations",7295,
